Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,103.0,0.360282838864155,4.938215530588851,0.006757291638368042,0.5,1.0
1,155.4,0.5563245912679112,13.867921125745774,0.02755559680883307,0.5,1.0
2,333.4,1.2222679486699837,21.100901015758513,0.07389974969690666,0.5,1.0
3,349.4,1.282128025739833,25.84322944869995,0.1134528333272785,0.5,1.0
4,316.9,1.1605372441917017,28.515604775619508,0.18221705372463912,0.5,1.0
5,301.6,1.1032960454936587,30.617180194854736,0.15273868609704078,0.5,1.0
6,342.9,1.2578098694302067,31.775894689369203,0.11922356171682477,0.5,1.0
7,320.0,1.1721351341239852,32.255804384040836,0.11628985846173018,0.5,1.0
8,336.1,1.232369336675521,32.658258644104,0.07521402406385168,0.5,1.0
9,312.3,1.1433274720341202,33.31196348457336,0.06731711647547782,0.5,1.0
10,354.2,1.3000860488607877,33.97289536190033,0.0547445354568772,0.5,1.0
11,339.4,1.2447154775711773,34.52383727073669,0.04703605577964336,0.5,1.0
12,406.4,1.4953795503011709,34.965992308044434,0.0446194184656255,0.5,1.0
13,391.8,1.4407572299749336,35.303154842758175,0.04500059619615786,0.5,1.0
14,418.5,1.5406487335852443,35.53779340209961,0.043382460749614986,0.5,1.0
15,415.0,1.527554341726215,35.641886972236634,0.04365821514246054,0.5,1.0
16,374.4,1.3756593961614725,35.91325597476959,0.03766007742853835,0.5,1.0
17,349.6,1.2828762767032063,36.06177907238006,0.03668242656253278,0.5,1.0
18,390.1,1.434397096786262,36.20085615406036,0.034985841762972994,0.5,1.0
19,327.8,1.2013169216955366,36.35164932098389,0.03347437848569825,0.5,1.0
20,417.2,1.535785102323319,36.448853361320495,0.031131975399539807,0.5,1.0
21,400.8,1.4744285233267238,36.60279828681946,0.03114192378167063,0.5,1.0
22,403.0,1.482659283923828,36.693624549484255,0.031067216394143178,0.5,1.0
23,346.7,1.272026637734296,36.80533679256439,0.03133360967910848,0.5,1.0
24,343.5,1.2600546223203262,36.870707898521424,0.03045712195583619,0.5,1.0
25,438.5,1.615473829922556,36.9764159784317,0.03094715402056463,0.5,1.0
26,344.6,1.2641700026188785,37.02438773899078,0.03027120043078903,0.5,1.0
27,419.7,1.5451382393654831,37.10928318042755,0.029277276430721394,0.5,1.0
28,414.3,1.524935463354409,37.183269020080566,0.03255342712961137,0.5,1.0
29,305.3,1.1171386883160612,37.229354521560666,0.03238742788182571,0.5,1.0
30,341.9,1.254068614613341,37.31763900794983,0.031652193401381375,0.5,1.0
31,346.6,1.2716525122526094,37.35111231994629,0.03298235538592562,0.5,1.0
32,353.0,1.2955965430805492,37.39364060401917,0.030772817228897475,0.5,1.0
33,328.6,1.2043099255490293,37.46090292682648,0.03301411801672075,0.5,1.0
34,307.5,1.1253694489131654,37.50628171749115,0.034441929420433004,0.5,1.0
35,305.5,1.1178869392794344,37.53893543815613,0.03304629652502481,0.5,1.0
36,303.6,1.1107785551273899,37.532212032318114,0.033898950304999016,0.5,1.0
37,318.4,1.166149126417,37.57942273979187,0.03460063505030703,0.5,1.0
38,327.1,1.1986980433237309,37.59933289661407,0.03434914136815351,0.5,1.0
39,338.4,1.2409742227543117,37.64283907928467,0.03140924313489813,0.5,1.0
40,309.5,1.1328519585468966,37.63399897060394,0.03326749188560061,0.5,1.0
41,350.5,1.2862434060383852,37.64464548988342,0.03167874703695998,0.5,1.0
42,286.2,1.0456807213139285,37.669825051116945,0.029755672909133137,0.5,1.0
43,338.7,1.2420965991993713,37.67252545318603,0.030317751935636624,0.5,1.0
44,310.6,1.1369673388454489,37.68258297786713,0.02895120307900943,0.5,1.0
45,320.0,1.1721351341239852,37.70405987033844,0.029815932942042128,0.5,1.0
46,273.1,0.9966702832129897,37.71788202476502,0.02597841670801863,0.5,1.0
47,423.1,1.5578585057428262,37.73354949150085,0.026412276046490296,0.5,1.0
48,356.1,1.3071944330128324,37.74876623229981,0.026329283908649814,0.5,1.0
