Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,16.1,0.035167795278536425,1.5551435111202299,0.01662445206482953,0.5,1.0
1,36.1,0.10999289161584795,6.550371332335472,0.1410664678061381,0.5,1.0
2,36.8,0.11261176998765385,12.874431752967835,0.10931334808692336,0.5,1.0
3,34.8,0.10512926035392268,18.221388291168214,0.11028277421295643,0.5,1.0
4,36.1,0.10999289161584795,20.392420143795015,0.1730094612462446,0.5,1.0
5,31.3,0.09203486849489319,22.536948348236084,0.18416642438294367,0.5,1.0
6,35.2,0.10662576228066895,24.306456725883486,0.15434624175485223,0.5,1.0
7,35.7,0.10849638968910173,25.37233740081787,0.13777965413564816,0.5,1.0
8,37.1,0.11373414643271353,25.913825450897217,0.12638084943285213,0.5,1.0
9,43.9,0.13917467918739942,26.154952512931825,0.11462459763400257,0.5,1.0
10,34.4,0.10363275842717647,26.252216609954836,0.10503290017805994,0.5,1.0
11,35.4,0.10737401324404204,26.34508564414978,0.1049746869187802,0.5,1.0
12,35.6,0.10812226420741516,26.460867444992065,0.10008965408327058,0.5,1.0
13,35.3,0.10699988776235547,26.634528207588197,0.08836916531948373,0.5,1.0
14,31.8,0.09390549590332598,26.656839215278627,0.07805782508258707,0.5,1.0
15,36.6,0.11186351902428074,26.628432565307616,0.06578987421463244,0.5,1.0
16,36.8,0.11261176998765385,26.58691982574463,0.05990269810622558,0.5,1.0
17,36.5,0.11148939354259418,26.6206673871994,0.05578123458530754,0.5,1.0
18,33.5,0.10026562909199745,26.653781874275207,0.04848027974264696,0.5,1.0
19,37.1,0.11373414643271353,26.714352963256836,0.037704739279905336,0.5,1.0
20,36.6,0.11186351902428074,26.878407832908632,0.04090549704888836,0.5,1.0
21,36.7,0.11223764450596731,27.01328830833435,0.045190095410216596,0.5,1.0
22,37.8,0.11635302480451942,27.134745429801942,0.05117488674400374,0.5,1.0
23,38.0,0.11710127576789255,27.209081966972352,0.0533518418028485,0.5,1.0
24,37.2,0.1141082719144001,27.29663085308075,0.04762662490434013,0.5,1.0
25,39.7,0.12346140895656402,27.39614621772766,0.04812296391082928,0.5,1.0
26,38.5,0.11897190317632533,27.456906849479676,0.04825535768007394,0.5,1.0
27,38.9,0.12046840510307155,27.44804095516205,0.0525441403380828,0.5,1.0
28,40.2,0.12533203636499682,27.498400602531433,0.056629669734626076,0.5,1.0
29,40.5,0.12645441281005648,27.561353550720217,0.058692535255034456,0.5,1.0
30,41.1,0.1286991657001758,27.577625421524047,0.05410551185007207,0.5,1.0
31,40.5,0.12645441281005648,27.603184852600098,0.058195282652322204,0.5,1.0
32,41.5,0.13019566762692206,27.583358713912965,0.05274540223130025,0.5,1.0
33,40.8,0.12757678925511615,27.60773465309143,0.04764352018849458,0.5,1.0
34,41.2,0.1290732911818624,27.647595906829835,0.04434729361266363,0.5,1.0
35,43.8,0.13880055370571287,27.67544635772705,0.043296636980958286,0.5,1.0
36,42.2,0.13281454599872797,27.691731844329833,0.04176907894110773,0.5,1.0
37,45.3,0.14441243593101122,27.717939318084717,0.0414867835883284,0.5,1.0
38,43.2,0.13655580081559354,27.705970888900758,0.03945939587911125,0.5,1.0
39,43.1,0.136181675333907,27.70542035217285,0.04024878963443916,0.5,1.0
40,44.8,0.14254180852257844,27.724330304145813,0.03553898528625723,0.5,1.0
41,46.7,0.14965019267462307,27.76452061767578,0.03662230268823914,0.5,1.0
42,43.2,0.13655580081559354,27.779189176750183,0.03561423187574837,0.5,1.0
43,55.4,0.18219910958135355,27.839230392456056,0.033526523048826494,0.5,1.0
44,45.8,0.14628306333944402,27.821007198524477,0.031173945501702837,0.5,1.0
45,52.6,0.17172359609412996,27.845973212623598,0.031499974141805435,0.5,1.0
46,49.1,0.15862920423510043,27.84166193885803,0.02631419480617624,0.5,1.0
