Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.0,0.0,52.848533528742564,42.56782017669678,0.34583437,1.0
1,0.0,0.0,76.20675983467102,16.20510799574852,0.30245757,1.0
2,0.0,0.0,81.80588387832641,14.371569364833832,0.2923867,1.0
3,0.0,0.0,85.01920745468139,13.036986834740638,0.27270326,1.0
4,0.0,0.0,86.23584940109252,12.004318749761582,0.27403533,1.0
5,0.0,0.0,86.20839296646118,11.968444727241993,0.27692744,1.0
6,0.0,0.0,85.48408082199097,11.628866604208946,0.27781057,1.0
7,0.0,0.0,84.2936949935913,11.944227154195309,0.27864677,1.0
8,0.0,0.0,83.31471753082275,11.692982955479621,0.27871373,1.0
9,0.0,0.0,82.04898579940796,11.553949653697014,0.284794,1.0
10,0.0,0.0,80.48334194412232,10.476770444661378,0.2953314,1.0
11,0.0,0.0,79.12576918640137,10.767968007063866,0.30263776,1.0
12,0.0,0.0,77.708116506958,10.824945492219925,0.31032678,1.0
13,0.0,0.0,76.28888098068238,10.660494249403477,0.3228698,1.0
14,0.0,0.0,75.32149419097901,10.718194759488107,0.33129308,1.0
15,0.0,0.0,75.11830643920898,10.580128370249271,0.33149204,1.0
16,0.0,0.0,74.44251040878297,10.337546693956853,0.33353373,1.0
17,0.0,0.0,73.72078165588378,10.529302965307236,0.3384368,1.0
18,0.0,0.0,73.1021221408844,10.002330226653815,0.34147537,1.0
19,0.0,0.0,72.35845286026002,10.162606553673744,0.34145534,1.0
Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.0,0.0,52.848533528742564,42.56782017669678,0.34583437,1.0
1,0.0,0.0,76.20675983467102,16.20510799574852,0.30245757,1.0
2,0.0,0.0,81.80588387832641,14.371569364833832,0.2923867,1.0
3,0.0,0.0,85.01920745468139,13.036986834740638,0.27270326,1.0
4,0.0,0.0,86.23584940109252,12.004318749761582,0.27403533,1.0
5,0.0,0.0,86.20839296646118,11.968444727241993,0.27692744,1.0
6,0.0,0.0,85.48408082199097,11.628866604208946,0.27781057,1.0
7,0.0,0.0,84.2936949935913,11.944227154195309,0.27864677,1.0
8,0.0,0.0,83.31471753082275,11.692982955479621,0.27871373,1.0
9,0.0,0.0,82.04898579940796,11.553949653697014,0.284794,1.0
10,0.0,0.0,80.48334194412232,10.476770444661378,0.2953314,1.0
11,0.0,0.0,79.12576918640137,10.767968007063866,0.30263776,1.0
12,0.0,0.0,77.708116506958,10.824945492219925,0.31032678,1.0
13,0.0,0.0,76.28888098068238,10.660494249403477,0.3228698,1.0
14,0.0,0.0,75.32149419097901,10.718194759488107,0.33129308,1.0
15,0.0,0.0,75.11830643920898,10.580128370249271,0.33149204,1.0
16,0.0,0.0,74.44251040878297,10.337546693956853,0.33353373,1.0
17,0.0,0.0,73.72078165588378,10.529302965307236,0.3384368,1.0
18,0.0,0.0,73.1021221408844,10.002330226653815,0.34147537,1.0
19,0.0,0.0,72.35845286026002,10.162606553673744,0.34145534,1.0
20,0.0,0.0,71.96541389007568,10.246162427979709,0.33910236,1.0
21,0.0,0.0,71.62419835510254,10.05907826436758,0.34166205,1.0
22,0.0,0.0,71.4952550064087,9.98317895179987,0.3381269,1.0
23,0.0,0.0,71.40867225456238,9.662769147074222,0.3353707,1.0
24,0.0,0.0,71.13805145874024,9.54911856405735,0.3374201,1.0
25,0.0,0.0,70.52659018898011,9.833840480405092,0.3425,1.0
26,0.0,0.0,70.0350413608551,9.513737281227112,0.34203032,1.0
27,0.0,0.0,69.62378956069946,9.24341622710228,0.34410086,1.0
28,0.0,0.0,69.45782976455689,9.248203076481818,0.344811,1.0
29,0.0,0.0,68.96762302093506,9.525416631597281,0.35281342,1.0
30,0.0,0.0,68.56601658744812,9.49107567844391,0.3589143,1.0
31,0.0,0.0,67.89316579780579,9.426911443376541,0.3635173,1.0
32,0.0,0.0,67.65280254592895,9.212592463594675,0.36282173,1.0
33,0.0,0.0,67.38311710624694,9.17687835778594,0.36779526,1.0
34,0.0,0.0,67.0323048110962,9.077610975128412,0.37241203,1.0
35,0.0,0.0,66.458377627182,9.036685755717754,0.37405348,1.0
36,0.0,0.0,65.91747424964905,8.797310721564292,0.37603888,1.0
37,0.0,0.0,65.45659176826477,8.976187818944455,0.38171488,1.0
38,0.0,0.0,64.62061887931824,8.80416993675232,0.38744515,1.0
39,0.0,0.0,63.91853376731873,8.945958459305762,0.39200953,1.0
40,0.0,0.0,63.268183982467654,8.733320937561988,0.39439994,1.0
41,0.0,0.0,62.87473845100403,8.943375516712665,0.39769444,1.0
42,0.0,0.0,62.0749021938324,8.711151030397415,0.40264463,1.0
43,0.0,0.0,61.00417912712097,8.381641984587908,0.40980577,1.0
44,0.0,0.0,59.96593147201538,8.74676600227356,0.41862437,1.0
45,0.0,0.0,58.740768996810914,8.302547211575508,0.42430142,1.0
