Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.0,0.0,31.52448485137075,15.824844856119157,0.55866814,1.0
1,0.0,0.0,34.276085215377805,1.8443466271042823,0.6179089,1.0
2,0.0,0.0,33.877139814186094,1.4325584451019764,0.6368322,1.0
3,0.0,0.0,33.06095373516083,1.4636607418060303,0.64812076,1.0
4,0.0,0.0,31.49997674999237,1.4549112135529518,0.6633867,1.0
5,0.0,0.0,29.21031600437164,1.3962185725450516,0.68718356,1.0
6,0.1,0.1,26.996672484779356,1.3762592513799667,0.70661163,1.0
7,0.0,0.0,25.614983416748046,1.3486081635534763,0.71532243,1.0
8,0.0,0.0,25.077991166877748,1.3171567244887352,0.71738994,1.0
9,0.0,0.0,24.87808556442261,1.2520784545719623,0.7198828,1.0
10,0.0,0.0,24.684764699554442,1.1914780414819717,0.72239226,1.0
11,0.0,0.0,24.421636734962462,1.127660519260168,0.72656536,1.0
12,0.0,0.0,24.16254351043701,1.084162084877491,0.7285913,1.0
13,0.0,0.0,23.8622606672287,1.0489011119484901,0.73240685,1.0
14,0.0,0.0,23.623458812713622,1.0292449816703797,0.7358129,1.0
15,0.1,0.1,23.466775328445436,1.0006021781563759,0.7369026,1.0
16,0.0,0.0,23.381351688957213,0.9727133136808872,0.7393571,1.0
17,0.1,0.1,23.272503517341615,0.9731118589788675,0.7411129,1.0
