Training Epochs,OPE_Estimate,L_Crit,Weight
0,-0.0036994910333305597,0.004511870422815264,1.0
1,0.0005109672201797366,0.0028798525806429096,1.0
2,0.0003368798061273992,0.0025658924841180123,1.0
3,0.0010137367062270641,0.002224574189080158,1.0
4,-0.0004524155519902706,0.0021175337652901364,1.0
5,0.0008343177614733577,0.0019759101959662077,1.0
6,0.00013031141133978963,0.0019917997610180466,1.0
7,-0.0011353869922459126,0.001969751455032201,1.0
Training Epochs,OPE_Estimate,L_Crit,Weight
0,-0.00045192817924544215,0.01612644511446706,1.0
1,-0.010575010441243649,0.056806168723944575,1.0
2,-0.01663496159017086,0.0817725641392637,1.0
3,0.003912284504622221,0.09969746392071246,1.0
4,0.049536559730768204,0.11552155419625341,1.0
5,0.021186847239732742,0.11262043454796075,1.0
6,-0.00317642861045897,0.10499077853951604,1.0
7,0.004360539373010397,0.10690255721509456,1.0
8,0.013505867682397366,0.10594080134723335,1.0
