Training Epochs,AverageReturn,NormReturn,L_Act,L_Crit,Weight,kl
0,0.3,0.3,0.022100273179861688,4.866896487227087,0.5,1.0
1,0.4,0.4,0.0029915296313348335,4.07814946002601,0.5,1.0
2,0.4,0.4,0.0057759250421197065,2.8363526706624165,0.5,1.0
3,0.3,0.3,0.011969511110907024,1.9116501573427536,0.5,1.0
4,0.6,0.6,0.015406586373746905,1.621248251190512,0.5,1.0
5,0.6,0.6,0.019606892522894485,1.4332334768099766,0.5,1.0
6,0.4,0.4,0.025212668595073047,1.2846519898830662,0.5,1.0
7,0.8,0.8,0.03095737351370626,1.2290902242431563,0.5,1.0
8,0.6,0.6,0.03190315935323015,1.1031657719547223,0.5,1.0
9,0.6,0.6,0.02466645738138468,1.0582886064067967,0.5,1.0
10,0.6,0.6,0.020455957937276253,1.0321256747348084,0.5,1.0
11,0.7,0.7,0.02344860975609481,0.958095078471634,0.5,1.0
12,0.6,0.6,0.02483753758644816,0.9191634148239854,0.5,1.0
13,0.6,0.6,0.02313783731658259,0.9049225824073259,0.5,1.0
14,0.7,0.7,0.023799110398336053,0.9527988185958558,0.5,1.0
15,0.8,0.8,0.02331743252356391,0.8920480341689406,0.5,1.0
16,0.7,0.7,0.023152873040251144,0.8049389052655054,0.5,1.0
17,0.6,0.6,0.02292323124107934,0.8533533300707793,0.5,1.0
18,0.7,0.7,0.025494212555182458,0.8601549292427731,0.5,1.0
19,0.6,0.6,0.026487955709746894,0.7708960516848207,0.5,1.0
20,0.6,0.6,0.02581785575157701,0.8138692337728543,0.5,1.0
21,0.5,0.5,0.0264460414215122,0.7922383490717608,0.5,1.0
22,0.7,0.7,0.025939611836709082,0.7307813023239517,0.5,1.0
23,0.7,0.7,0.028930289797754086,0.7786123690112189,0.5,1.0
24,0.6,0.6,0.027033118159946752,0.7404199789469537,0.5,1.0
25,0.6,0.6,0.030125636157036933,0.8117311959359679,0.5,1.0
26,0.7,0.7,0.02869528356591036,0.7328225244620684,0.5,1.0
27,0.6,0.6,0.02836247192471783,0.7044693831215119,0.5,1.0
28,0.8,0.8,0.03126538323922723,0.6609734515300871,0.5,1.0
29,0.7,0.7,0.03279120148948423,0.6451925499544056,0.5,1.0
30,0.8,0.8,0.03177034755187051,0.633784786447273,0.5,1.0
31,0.8,0.8,0.03211094941448391,0.6109260270442572,0.5,1.0
32,0.8,0.8,0.03552760926173069,0.6719519802176661,0.5,1.0
33,0.7,0.7,0.035306893648352704,0.6248124772372211,0.5,1.0
34,0.7,0.7,0.03589453750875546,0.5898529849378138,0.5,1.0
35,0.8,0.8,0.03519609090005106,0.6049405928062378,0.5,1.0
36,0.6,0.6,0.03695716180429881,0.6869748781542945,0.5,1.0
37,0.7,0.7,0.03661904822922225,0.6500514040191976,0.5,1.0
38,0.8,0.8,0.03740641601155221,0.6231915024173524,0.5,1.0
39,0.8,0.8,0.03672234119305358,0.579030431098818,0.5,1.0
40,0.7,0.7,0.03955031942701753,0.6229089594506577,0.5,1.0
41,0.7,0.7,0.03898448891605803,0.6309882606757325,0.5,1.0
42,0.6,0.6,0.04059318127303704,0.6113509664032398,0.5,1.0
43,0.7,0.7,0.041225678652033096,0.5589875592280683,0.5,1.0
44,0.7,0.7,0.041893538384567365,0.5955755122035724,0.5,1.0
45,0.6,0.6,0.04244115468021337,0.5686702343702219,0.5,1.0
46,0.8,0.8,0.04306386943636607,0.5493930378071687,0.5,1.0
47,0.6,0.6,0.04464766664541385,0.5267713041142397,0.5,1.0
48,0.8,0.8,0.04458520534014679,0.531695762362774,0.5,1.0
49,0.7,0.7,0.045370383537598535,0.5281975390583381,0.5,1.0
